GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
322743550,20141110,201411,2014,2014.8493,MED,LOCAL MEDIA,,,,,,MED,,,TUN,TUNISIA,TUN,,,,,,,,1,043,043,04,1,2.8,2,1,2,4.54258675078864,1,Northern Mariana Islands,CQ,CQ,19.4355,144.888,CQ,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141110,http://www.middleeasteye.net/news/tunisia-s-nidaa-tounes-nostalgia-past-never-was-313445692
320775201,20141028,201410,2014,2014.8164,USA,UNITED STATES,USA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,051,051,05,1,3.4,2,1,2,2.10843373493976,2,"Delaware, United States",US,USDE,39.3498,-75.5148,DE,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141028,http://www.europarl.europa.eu/news/en/news-room/content/20141028IPR76430/html/Tunisia-head-of-EP-election-observers-hails-transparent-and-professional-poll
319945209,20141023,201410,2014,2014.8027,EGY,EGYPT,EGY,,,,,,,,TUN,TUNISIAN,TUN,,,,,,,,0,020,020,02,1,3.0,2,1,2,4.15647921760391,1,Egypt,EG,EG,27.0,30.0,EG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141023,http://www.ibtimes.co.uk/tunisia-two-dead-anti-terrorism-operation-launched-ahead-parliamentary-elections-1471419
319994251,20141023,201410,2014,2014.8027,MIL,ARMY,,,,,,MIL,,,TUN,TUNISIA,TUN,,,,,,,,0,045,045,04,1,5.0,24,2,24,3.45050738705991,1,Egypt,EG,EG,27.0,30.0,EG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141023,http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=36716:tunisia-election-tests-transition-from-autocracy-to-democracy&catid=54:Governance&Itemid=118
319811818,20141022,201410,2014,2014.8,MIL,ARMY,,,,,,MIL,,,TUN,TUNISIA,TUN,,,,,,,,0,045,045,04,1,5.0,40,4,40,3.39941544849952,1,Egypt,EG,EG,27.0,30.0,EG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141022,http://jordantimes.com/tunisia-election-tests-transition-from-autocracy-to-democracy
323230409,20141113,201411,2014,2014.8575,EGY,EGYPT,EGY,,,,,,,,TUN,TUNIS,TUN,,,,,,,,1,040,040,04,1,1.0,8,1,8,1.6884661117717,1,Egypt,EG,EG,27.0,30.0,EG,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141113,http://pjmedia.com/vodkapundit/2014/11/12/climate-change-made-simple/
324544348,20141121,201411,2014,2014.8795,IRL,IRISH,IRL,,,,,,,,TUN,TUNIS,TUN,,,,,,,,0,190,190,19,4,-10.0,8,1,8,2.89256198347107,1,Ireland,EI,EI,53.0,-8.0,EI,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141121,http://article.wn.com/view/2014/11/21/The_Berlusconi_of_Tunisia/
320389273,20141026,201410,2014,2014.811,IRL,IRISH,IRL,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,010,010,01,1,0.0,2,1,2,1.42045454545455,1,Ireland,EI,EI,53.0,-8.0,EI,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141026,http://article.wn.com/view/2014/10/26/Carter_Center_Visits_During_Elections/
324909088,20141124,201411,2014,2014.8877,FRA,FRENCH,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,020,020,02,1,3.0,24,3,24,2.73406164012711,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141124,http://nation.com.pk/international/25-Nov-2014/tunisia-set-for-runoff-in-landmark-election
318250108,20141013,201410,2014,2014.7753,FRAJUD,FRENCH,FRA,,,,,JUD,,,TUNGOV,TUNISIAN,TUN,,,,,GOV,,,1,040,040,04,1,1.0,6,1,6,2.04081632653061,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141013,http://www.spa.gov.sa/english/details.php?id=1283844
325081950,20141125,201411,2014,2014.8904,FRA,FRENCH,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,020,020,02,1,3.0,8,1,8,2.5260029717682,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141125,http://www.koreaherald.com/view.php?ud=20141125000514
322700543,20141110,201411,2014,2014.8493,FRA,FRENCH,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,0,100,100,10,3,-5.0,8,1,8,4.54258675078864,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141110,http://www.middleeasteye.net/news/tunisia-s-nidaa-tounes-nostalgia-past-never-was-313445692
317705827,20141009,201410,2014,2014.7644,HRI,RIGHTS ACTIVIST,,,,,,HRI,,,TUN,TUNIS,TUN,,,,,,,,1,036,036,03,1,4.0,2,1,2,2.26537216828479,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141009,http://www.tunisia-live.net/2014/10/09/regional-womens-rights-activists-to-meet-this-weekend-in-tunis/
321464170,20141102,201411,2014,2014.8274,FRA,FRANCE,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,042,042,04,1,1.9,6,1,6,2.07253886010363,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141102,http://www.worldbulletin.net/world/147556/tunisians-protest-against-visit-by-french-thinker
324774785,20141123,201411,2014,2014.8849,FRA,FRANCE,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,0,0841,084,08,2,7.0,5,1,5,2.04918032786885,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141123,http://www.punchng.com/news/africa/tunisians-vote-in-first-free-election/
321597097,20141103,201411,2014,2014.8301,FRAMED,FRANCE,FRA,,,,,MED,,,TUN,TUNIS,TUN,,,,,,,,1,043,043,04,1,2.8,4,1,4,0.854700854700855,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141103,http://allafrica.com/stories/201411031312.html
322873725,20141111,201411,2014,2014.8521,FRA,FRANCE,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,050,050,05,1,3.5,1,1,1,1.23456790123457,1,France,FR,FR,46.0,2.0,FR,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141111,http://magharebia.com/en_GB/articles/awi/newsbriefs/general/2014/11/11/newsbrief-02
322944533,20141111,201411,2014,2014.8521,SYR,SYRIA,SYR,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,042,042,04,1,1.9,2,1,2,1.92307692307692,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141111,http://www.ansamed.info/ansamed/en/news/sections/generalnews/2014/11/11/tunisia-presidential-vote-slim-rihahi-threatened_9b89bca1-a901-4e14-a78d-1a4e7844fb5c.html
322873724,20141111,201411,2014,2014.8521,FRA,FRANCE,FRA,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,050,050,05,1,3.5,4,1,4,1.23456790123457,1,France,FR,FR,46.0,2.0,FR,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141111,http://magharebia.com/en_GB/articles/awi/newsbriefs/general/2014/11/11/newsbrief-02
320748990,20141028,201410,2014,2014.8164,TUNGOV,MOHAMED GHANNOUCHI,TUN,,,,,GOV,,,TUN,TUNISIA,TUN,,,,,,,,1,073,073,07,2,7.4,3,3,3,2.56976596853354,1,Germany,GM,GM,51.0,9.0,GM,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,20141028,http://news.yahoo.com/tunsias-essebsi-pillar-old-guard-seeks-comeback-185957054.html
